p,X,Y,Z,VX,VY,VZ,pitch,yaw,roll,bisBridgeOut
Player State1,-15,-5,13,0,0,0,0,0,0,FALSE
Player State2,-15,-5,13,0,0,0,0,0,0,FALSE
Player State3,-15,-6,13,0,-3,0,0,-2,0,FALSE
Player State4,-6,-7,14,0,0,0,0,0,0,FALSE
Player State5,-6,-7,14,0,0,0,0,0,0,FALSE
Player State6,-6,-7,14,0,0,0,0,0,0,FALSE
Player State7,-6,-7,14,0,0,0,0,0,0,FALSE
Player State8,-6,-7,14,0,0,0,0,0,0,FALSE
Player State9,-6,-7,14,0,0,0,0,0,0,FALSE
Player State10,-6,-7,14,0,0,0,0,0,0,FALSE
Player State11,-6,-7,14,0,0,0,0,0,0,FALSE
Player State12,-6,-7,14,0,0,0,0,0,0,FALSE
Player State13,-6,-7,14,0,0,0,0,0,0,FALSE
Player State14,-6,-7,14,0,0,0,0,0,0,FALSE
Player State15,-6,-7,14,0,0,0,0,0,0,FALSE
Player State16,-6,-7,14,0,0,0,0,0,0,FALSE
Player State17,-6,-7,14,0,0,0,0,0,0,FALSE
Player State18,-6,-7,14,0,0,0,0,0,0,FALSE
Player State19,-6,-7,14,0,0,0,0,0,0,FALSE
Player State20,-6,-7,14,0,0,0,0,0,0,FALSE
Player State21,-6,-7,14,0,0,0,0,0,0,FALSE
Player State22,-6,-7,14,0,0,0,0,0,0,FALSE
Player State23,-6,-7,14,0,0,0,0,0,0,FALSE
Player State24,-6,-7,14,0,0,0,0,0,0,FALSE
Player State25,-6,-7,14,0,0,0,0,0,0,FALSE
Player State26,-6,-7,14,0,0,0,0,0,0,FALSE
Player State27,-6,-7,14,0,0,0,0,0,0,FALSE
Player State28,-6,-7,14,0,0,0,0,0,0,FALSE
Player State29,-6,-7,14,0,0,0,0,0,0,FALSE
Player State30,-6,-7,14,0,0,0,0,0,0,FALSE
Player State31,-6,-7,14,0,0,0,0,0,0,FALSE
Player State32,-6,-7,14,0,0,0,0,0,0,FALSE
Player State33,-6,-7,14,0,0,0,0,0,0,FALSE
Player State34,-6,-7,14,0,0,0,0,0,0,FALSE
Player State35,-6,-7,14,0,0,0,0,0,0,FALSE
Player State36,-6,-7,14,0,0,0,0,0,0,FALSE
Player State37,-6,-7,14,0,0,0,0,0,0,FALSE
Player State38,-6,-7,14,0,0,0,0,0,0,FALSE
Player State39,-6,-7,14,0,0,0,0,0,0,FALSE
