---,X,Y,Z,VX,VY,VZ
1,-15,-5,13,0,0,0
2,-15,-6,13,0,-3,0
3,-15,-6,13,0,-5,0
4,-15,-7,13,0,-6,0
5,-15,-7,13,0,-5,0
6,-15,-7,13,0,0,0
7,-15,-7,13,0,0,0
8,-15,-7,13,0,0,6
9,-15,-7,14,0,0,6
10,-15,-7,14,0,0,5
11,-15,-7,14,0,0,5
12,-15,-7,14,0,0,5
13,-16,-7,14,-1,0,4
14,-16,-7,14,-1,0,3
15,-16,-7,14,-1,0,3
16,-16,-7,15,-1,0,2
17,-16,-7,15,-1,0,2
18,-16,-7,15,-2,0,1
19,-16,-7,15,-2,0,1
20,-16,-7,15,-2,0,0
21,-16,-7,15,-2,0,-1
22,-16,-7,15,-3,0,-2
23,-17,-7,15,-3,0,-3
24,-17,-7,14,-3,0,-3
25,-17,-7,14,-3,0,-4
26,-17,-7,14,-4,0,-5
27,-17,-7,14,-4,0,-6
28,-18,-7,13,-4,0,-7
29,-18,-7,13,-5,0,0
30,-18,-7,14,0,0,6
31,-18,-7,14,0,0,5
32,-18,-7,14,0,0,4
33,-18,-7,14,0,0,4
34,-18,-7,14,0,0,3
35,-18,-7,15,0,1,2
36,-18,-7,15,0,1,1
37,-18,-7,15,0,1,0
38,-18,-7,15,0,1,0
39,-18,-6,15,0,2,-1
40,-18,-6,14,0,2,-3
41,-18,-6,14,0,3,-4
42,-18,-6,14,0,3,-5
43,-18,-6,14,0,3,-6
44,-18,-5,13,0,3,-6
45,-18,-5,13,0,4,0
46,-18,-5,13,0,5,0
47,-18,-5,13,0,6,0
48,-18,-4,13,0,6,0
49,-18,-4,13,0,5,0
50,-18,-4,13,0,5,0
51,-18,-3,13,0,5,-2
52,-18,-3,13,0,4,-3
53,-18,-3,13,0,4,-3
54,-18,-3,13,0,4,-4
55,-18,-2,12,0,4,-5
56,-18,-2,12,0,4,-5
57,-18,-2,12,0,4,-6
58,-18,-2,12,0,3,-6
59,-18,-2,12,0,3,-7
60,-18,-2,12,0,2,0
61,-18,-2,12,0,1,0
62,-18,-2,12,0,0,0
63,-18,-2,12,0,0,0
64,-18,-2,12,0,-1,0
65,-18,-2,12,0,-2,0
66,-18,-2,12,0,-3,0
67,-18,-3,12,0,-4,0
68,-18,-3,12,0,-5,0
69,-18,-3,12,0,-5,0
70,-18,-3,12,0,-6,0
71,-18,-4,12,0,-3,0
72,-18,-4,12,0,-2,0
73,-18,-4,12,0,-1,0
74,-18,-4,12,0,0,0
75,-18,-4,12,0,0,0
76,-18,-4,12,0,0,0
77,-18,-4,12,0,1,0
78,-18,-3,12,0,2,0
79,-18,-3,12,0,2,0
80,-18,-3,12,0,3,0
81,-18,-3,12,0,4,0
82,-18,-2,12,0,6,0
83,-18,-2,12,0,6,0
84,-18,-1,12,0,6,0
85,-18,0,12,0,6,0
86,-18,1,12,0,6,0
87,-18,2,12,0,6,0
88,-18,3,12,0,6,0
89,-18,4,12,0,6,0
90,-18,5,12,0,6,0
91,-18,6,12,0,5,6
92,-18,6,12,0,5,6
93,-18,6,12,0,5,5
94,-18,6,13,0,5,4
95,-18,7,13,0,5,3
96,-18,7,13,0,5,3
97,-18,7,13,0,5,2
98,-18,8,13,0,5,1
99,-18,8,13,0,5,1
100,-18,8,13,0,5,0
101,-18,9,13,0,5,-1
102,-18,9,13,0,5,-1
103,-18,9,13,0,5,-2
104,-18,9,13,0,5,-3
105,-18,10,13,0,5,-4
106,-18,10,12,0,5,-4
107,-18,10,12,0,5,-5
108,-18,10,12,0,5,-5
109,-18,10,12,0,5,-6
110,-18,11,12,0,5,0
111,-18,11,12,0,5,7
112,-18,11,12,0,5,6
113,-18,11,12,0,5,6
114,-18,11,12,0,5,5
115,-18,12,13,0,5,4
116,-18,12,13,0,5,4
117,-18,12,13,0,4,1
118,-18,12,13,2,4,6
119,-18,12,13,2,4,6
120,-18,12,13,2,4,5
121,-17,12,14,2,3,4
122,-17,13,14,2,3,4
123,-17,13,14,2,3,4
124,-17,13,14,2,3,3
125,-17,13,14,2,3,2
126,-17,13,14,2,2,1
127,-17,13,14,2,2,1
128,-17,13,14,2,2,0
129,-16,14,14,2,1,-1
130,-16,14,14,2,1,-1
131,-16,14,14,2,1,-2
132,-16,14,14,2,1,-3
133,-16,14,14,2,1,-4
134,-16,14,13,2,0,-5
135,-16,14,13,2,0,-5
136,-15,14,13,2,0,-6
137,-15,14,13,2,0,-6
138,-15,14,13,2,0,-7
139,-15,14,12,2,0,-8
140,-15,14,12,2,0,-9
141,-15,14,12,1,1,0
142,-15,14,12,1,2,0
143,-15,14,12,1,2,0
144,-15,14,12,0,3,0
145,-15,15,12,0,4,0
146,-15,15,12,0,4,0
147,-15,15,12,0,5,0
148,-15,16,12,0,5,0
149,-15,17,12,0,5,0
150,-15,18,12,0,5,0
151,-15,19,12,0,5,0
152,-15,20,12,0,5,0
153,-15,21,12,0,5,0
154,-15,22,12,0,6,0
155,-15,22,12,0,6,0
156,-15,23,12,0,6,0
157,-15,24,12,0,6,0
158,-15,25,12,0,6,0
159,-18,-2,12,0,5,6
160,-18,-2,12,0,5,6
161,-18,-2,12,0,5,5
162,-18,-2,12,0,5,5
163,-18,-1,13,0,5,4
164,-18,-1,13,1,5,4
165,-18,-1,13,1,5,3
166,-18,-1,13,1,5,3
167,-18,-1,13,1,5,2
168,-18,0,13,1,5,1
169,-17,0,13,1,5,1
170,-17,0,13,2,5,0
171,-17,0,13,2,5,0
172,-17,0,13,2,5,-1
173,-17,0,13,2,5,-2
174,-17,0,13,3,5,-3
175,-17,0,13,3,5,-3
176,-17,0,13,3,5,-4
177,-16,1,12,3,4,-5
178,-16,1,12,3,4,-5
179,-16,1,12,3,4,-6
180,-16,1,12,3,4,-7
181,-16,1,12,4,3,7
182,-16,2,12,4,3,6
183,-16,2,12,4,3,6
184,-15,2,12,4,3,5
185,-15,2,12,4,3,5
186,-15,2,13,4,3,4
187,-15,2,13,4,3,3
188,-15,2,13,4,4,2
189,-14,3,13,4,4,1
190,-14,3,13,4,4,1
191,-14,3,13,4,4,0
192,-14,3,13,3,4,0
193,-14,3,13,3,4,-1
194,-13,4,13,3,4,-2
195,-13,4,13,3,4,-2
196,-13,4,13,3,4,-3
197,-13,4,13,3,4,-4
198,-13,5,12,3,5,-5
199,-13,5,12,3,5,-5
200,-13,5,12,3,5,-6
201,-12,5,12,2,5,0
202,-12,5,12,2,5,7
203,-12,6,12,2,5,6
204,-12,6,12,2,5,6
205,-12,6,12,2,5,5
206,-12,6,13,2,5,4
207,-12,7,13,2,5,3
208,-12,7,13,2,5,2
209,-12,7,13,2,5,2
210,-12,7,13,2,4,1
