---,X,Y,Z,VisitCount,bCanTeleport
751,"-15","34","3","1","True"
752,"-22","34","1","1","True"
753,"-22","34","2","1","True"
754,"-22","34","3","1","True"
755,"-27","37","1","1","True"
756,"-22","35","2","1","True"
757,"-14","34","3","1","True"
758,"-34","1","1","1","True"
759,"-23","36","2","1","True"
760,"-23","36","3","1","True"
761,"-23","37","3","1","True"
762,"-15","28","1","1","True"
763,"-27","28","2","1","True"
764,"-24","39","3","1","True"
765,"-24","39","2","1","True"
766,"-18","28","1","1","True"
767,"-15","38","1","1","True"
768,"-23","38","1","1","True"
769,"-31","27","1","1","True"
770,"-22","38","2","1","True"
771,"-30","26","1","1","True"
772,"-21","38","3","1","True"
773,"-14","32","1","1","True"
774,"-29","30","1","1","True"
775,"-15","34","1","1","True"
776,"-35","33","1","1","True"
777,"-31","20","1","1","True"
778,"-28","27","3","1","True"
779,"-20","28","1","1","True"
780,"-31","33","3","1","True"
781,"-20","18","1","1","True"
782,"-22","23","4","1","True"
783,"-15","36","1","1","True"
784,"-11","30","1","1","True"
785,"-24","24","4","1","True"
786,"-18","25","3","1","True"
787,"-11","25","1","1","True"
788,"-10","27","1","1","True"
789,"-8","31","1","1","True"
790,"-13","28","1","1","True"
791,"-25","25","5","1","True"
792,"-16","26","1","1","True"
793,"-16","20","1","1","True"
794,"-30","-1","1","1","True"
795,"-9","26","1","1","True"
796,"-25","35","2","1","True"
797,"-11","27","1","1","True"
798,"-12","28","1","1","True"
799,"-8","32","2","1","True"
800,"-28","29","2","1","True"
801,"-14","27","1","1","True"
802,"-11","32","1","1","True"
803,"-27","25","3","1","True"
804,"-15","37","1","1","True"
805,"-18","25","1","1","True"
806,"-27","32","1","1","True"
807,"-18","23","1","1","True"
808,"-32","19","1","1","True"
809,"-34","7","1","1","True"
810,"-36","-3","1","1","True"
811,"-8","26","1","1","True"
812,"-35","36","1","1","True"
813,"-20","32","3","1","True"
814,"-13","37","3","1","True"
815,"-19","19","1","1","True"
816,"-22","29","3","1","True"
817,"-27","29","1","1","True"
818,"-21","32","1","1","True"
819,"-9","34","1","1","True"
820,"-31","19","1","1","True"
821,"-21","27","3","1","True"
822,"-30","22","1","1","True"
823,"-12","28","3","1","True"
824,"-25","30","1","1","True"
825,"-18","35","1","1","True"
826,"-30","21","1","1","True"
827,"-23","32","1","1","True"
828,"-35","39","3","1","True"
829,"-14","38","3","1","True"
830,"-24","35","3","1","True"
831,"-19","24","1","1","True"
832,"-20","26","3","1","True"
833,"-27","26","3","1","True"
834,"-19","27","3","1","True"
835,"-17","23","1","1","True"
836,"-34","19","1","1","True"
837,"-32","20","1","1","True"
838,"-25","31","1","1","True"
839,"-33","6","1","1","True"
840,"-34","0","1","1","True"
841,"-35","-2","1","1","True"
842,"-20","23","1","1","True"
843,"-33","36","1","1","True"
844,"-20","32","2","1","True"
845,"-10","34","3","1","True"
846,"-28","25","2","1","True"
847,"-34","32","1","1","True"
848,"-31","28","1","1","True"
849,"-36","28","1","1","True"
850,"-32","28","1","1","True"
851,"-19","36","1","1","True"
852,"-24","38","1","1","True"
853,"-34","8","1","1","True"
854,"-29","22","1","1","True"
855,"-20","31","1","1","True"
856,"-26","31","1","1","True"
857,"-33","31","1","1","True"
858,"-33","34","1","1","True"
859,"-8","34","2","1","True"
860,"-9","32","3","1","True"
861,"-31","35","1","1","True"
862,"-22","33","3","1","True"
863,"-19","33","1","1","True"
864,"-30","35","1","1","True"
865,"-27","26","4","1","True"
866,"-14","36","1","1","True"
867,"-12","30","3","1","True"
868,"-25","28","2","1","True"
869,"-29","38","3","1","True"
870,"-36","33","1","1","True"
871,"-31","32","3","1","True"
872,"-32","30","1","1","True"
873,"-30","34","1","1","True"
874,"-31","37","3","1","True"
875,"-36","38","1","1","True"
876,"-17","38","1","1","True"
877,"-30","37","1","1","True"
878,"-36","34","1","1","True"
879,"-22","36","1","1","True"
880,"-27","35","1","1","True"
881,"-26","34","3","1","True"
882,"-33","31","3","1","True"
883,"-20","22","1","1","True"
884,"-19","24","2","1","True"
885,"-25","29","2","1","True"
886,"-34","28","1","1","True"
887,"-26","25","3","1","True"
888,"-25","27","4","1","True"
889,"-24","37","1","1","True"
890,"-31","33","1","1","True"
891,"-15","22","1","1","True"
892,"-28","-2","1","1","True"
893,"-23","36","1","1","True"
894,"-36","30","1","1","True"
895,"-34","24","1","1","True"
896,"-31","26","1","1","True"
897,"-16","28","1","1","True"
898,"-15","10","1","1","True"
899,"-31","5","1","1","True"
900,"-33","1","1","1","True"
901,"-31","13","1","1","True"
902,"-36","-2","1","1","True"
903,"-35","0","1","1","True"
904,"-35","9","3","1","True"
905,"-22","37","1","1","True"
906,"-25","27","2","1","True"
907,"-24","35","1","1","True"
908,"-31","38","1","1","True"
909,"-31","36","1","1","True"
910,"-30","38","1","1","True"
911,"-35","39","1","1","True"
912,"-28","24","4","1","True"
913,"-34","26","1","1","True"
914,"-9","34","2","1","True"
915,"-20","36","3","1","True"
916,"-13","33","3","1","True"
917,"-35","31","1","1","True"
918,"-15","32","2","1","True"
919,"-32","33","3","1","True"
920,"-28","28","2","1","True"
921,"-36","25","1","1","True"
922,"-18","36","3","1","True"
923,"-22","39","1","1","True"
924,"-36","32","1","1","True"
925,"-13","33","1","1","True"
926,"-18","26","1","1","True"
927,"-33","9","3","1","True"
928,"-34","30","1","1","True"
929,"-21","30","3","1","True"
930,"-19","31","2","1","True"
931,"-29","25","1","1","True"
932,"-32","9","3","1","True"
933,"-24","27","3","1","True"
934,"-32","-1","1","1","True"
935,"-27","37","3","1","True"
936,"-35","3","1","1","True"
937,"-33","0","1","1","True"
938,"-32","11","1","1","True"
939,"-20","30","1","1","True"
940,"-15","39","3","1","True"
941,"-20","24","1","1","True"
942,"-21","36","3","1","True"
943,"-30","15","1","1","True"
944,"-25","26","3","1","True"
945,"-36","6","1","1","True"
946,"-36","5","1","1","True"
947,"-21","32","3","1","True"
948,"-16","32","1","1","True"
949,"-30","17","1","1","True"
950,"-19","25","1","1","True"
951,"-22","32","1","1","True"
952,"-18","34","1","1","True"
953,"-25","35","1","1","True"
954,"-20","26","1","1","True"
955,"-26","29","2","1","True"
956,"-32","38","1","1","True"
957,"-25","31","3","1","True"
958,"-35","38","1","1","True"
959,"-33","32","1","1","True"
960,"-15","39","2","1","True"
961,"-9","32","1","1","True"
962,"-31","18","3","1","True"
963,"-31","20","3","1","True"
964,"-10","30","1","1","True"
965,"-30","23","1","1","True"
966,"-16","29","1","1","True"
967,"-27","34","1","1","True"
968,"-33","29","1","1","True"
969,"-28","24","3","1","True"
970,"-33","20","1","1","True"
971,"-36","39","1","1","True"
972,"-36","39","3","1","True"
973,"-35","26","1","1","True"
974,"-36","31","1","1","True"
975,"-27","36","2","1","True"
976,"-20","34","1","1","True"
977,"-19","39","3","1","True"
978,"-26","35","1","1","True"
979,"-28","36","3","1","True"
980,"-11","10","1","1","True"
981,"-11","34","1","1","True"
982,"-10","11","1","1","True"
983,"-26","38","1","1","True"
984,"-26","37","1","1","True"
985,"-32","24","1","1","True"
986,"-9","12","1","1","True"
987,"-19","22","1","1","True"
988,"-20","25","1","1","True"
989,"-16","35","1","1","True"
990,"-13","34","1","1","True"
991,"-27","29","2","1","True"
992,"-22","32","3","1","True"
993,"-19","39","2","1","True"
994,"-28","27","1","1","True"
995,"-26","26","3","1","True"
996,"-21","33","1","1","True"
997,"-24","27","2","1","True"
998,"-22","30","1","1","True"
999,"-17","10","1","1","True"
1000,"-25","28","3","1","True"
1001,"-23","30","1","1","True"
1002,"-10","13","3","1","True"
1003,"-15","21","1","1","True"
1004,"-34","31","1","1","True"
1005,"-31","34","1","1","True"
1006,"-23","34","1","1","True"
1007,"-12","13","3","1","True"
1008,"-14","14","1","1","True"
1009,"-14","38","1","1","True"
1010,"-16","15","3","1","True"
1011,"-32","25","1","1","True"
1012,"-24","32","1","1","True"
1013,"-29","31","1","1","True"
1014,"-31","29","3","1","True"
1015,"-17","36","1","1","True"
1016,"-13","10","1","1","True"
1017,"-19","35","1","1","True"
1018,"-18","16","3","1","True"
1019,"-32","3","1","1","True"
1020,"-32","37","1","1","True"
1021,"-16","36","1","1","True"
1022,"-30","36","2","1","True"
1023,"-26","27","2","1","True"
1024,"-19","16","1","1","True"
1025,"-27","31","3","1","True"
1026,"-31","23","1","1","True"
1027,"-36","1","1","1","True"
1028,"-27","36","1","1","True"
1029,"-22","35","1","1","True"
1030,"-36","10","1","1","True"
1031,"-21","26","3","1","True"
1032,"-36","26","1","1","True"
1033,"-19","17","1","1","True"
1034,"-28","33","1","2","True"
1035,"-29","33","1","2","True"
1036,"-31","31","1","2","True"
1037,"-13","38","3","2","True"
1038,"-34","20","1","2","True"
1039,"-20","19","1","2","True"
1040,"-29","37","3","2","True"
1041,"-33","39","1","2","True"
1042,"-16","21","1","2","True"
1043,"-35","-1","1","2","True"
1044,"-28","25","3","2","True"
1045,"-26","36","1","2","True"
