---,X,Y,Z,VX,VY,VZ,pitch,yaw,roll,bisBridgeOut
NewRow,"0","0","0","0","0","0","0","0","0","False"
Player State1,"-15","-5","13","0","0","0","0","0","0","False"
Player State2,"-15","-5","13","0","0","0","0","0","0","False"
Player State3,"-15","-5","13","0","0","0","0","0","0","False"
Player State4,"-15","-5","13","0","0","0","0","0","0","False"
Player State5,"-15","-5","13","0","0","0","0","0","0","False"
Player State6,"-15","-5","13","0","0","0","0","0","0","False"
Player State7,"-15","-5","13","0","0","0","0","0","0","False"
Player State8,"-15","-5","13","0","0","0","0","0","0","False"
Player State9,"-15","-5","13","0","0","0","0","0","0","False"
Player State10,"-15","-5","13","0","0","0","0","0","0","False"
Player State11,"-15","-5","13","0","0","0","0","0","0","False"
Player State12,"-15","-5","13","0","0","0","0","0","0","False"
Player State13,"-15","-5","13","0","0","0","0","0","0","False"
Player State14,"-15","-5","13","0","0","0","0","0","0","False"
Player State15,"-15","-5","13","0","0","0","0","0","0","False"
Player State16,"-15","-5","13","0","0","0","0","0","0","False"
Player State17,"-15","-5","13","0","0","0","0","0","0","False"
Player State18,"-15","-5","13","0","0","0","0","0","0","False"
Player State19,"-15","-5","13","0","0","0","0","0","0","False"
Player State20,"-15","-5","13","0","0","0","0","0","0","False"
Player State21,"-15","-5","13","0","0","0","0","0","0","False"
Player State22,"-15","-5","13","0","0","0","0","0","0","False"
Player State23,"-15","-5","13","0","0","0","0","0","0","False"
Player State24,"-15","-5","13","0","0","0","0","0","0","False"
Player State25,"-15","-5","13","0","0","0","0","0","0","False"
Player State26,"-15","-5","13","0","0","0","0","0","0","False"
Player State27,"-15","-5","13","0","0","0","0","0","0","False"
Player State28,"-15","-5","13","0","0","0","0","0","0","False"
Player State29,"-15","-5","13","0","0","0","0","0","0","False"
Player State30,"-15","-5","13","0","0","0","0","0","0","False"
Player State31,"-15","-5","13","0","0","0","0","0","0","False"
Player State32,"-15","-5","13","0","0","0","0","0","0","False"
Player State33,"-15","-5","13","0","0","0","0","0","0","False"
Player State34,"-15","-5","13","0","0","0","0","0","0","False"
Player State35,"-15","-5","13","0","0","0","0","0","0","False"
Player State36,"-15","-5","13","0","0","0","0","0","0","False"
Player State37,"-15","-5","13","0","0","0","0","0","0","False"
Player State38,"-15","-5","13","0","0","0","0","0","0","False"
Player State39,"-15","-5","13","0","0","0","0","0","0","False"
Player State40,"-15","-5","13","0","0","0","0","0","0","False"
Player State41,"-15","-5","13","0","0","0","0","0","0","False"
Player State42,"-15","-5","13","0","0","0","0","0","0","False"
Player State43,"-15","-5","13","0","0","0","0","0","0","False"
Player State44,"-15","-5","13","0","0","0","0","0","0","False"
Player State45,"-15","-5","13","0","0","0","0","0","0","False"
Player State46,"-15","-5","13","0","0","0","0","0","0","False"
Player State47,"-15","-5","13","0","0","0","0","0","0","False"
Player State48,"-15","-5","13","0","0","0","0","0","0","False"
Player State49,"-15","-5","13","0","0","0","0","0","0","False"
Player State50,"-15","-5","13","0","0","0","0","0","0","False"
Player State51,"-15","-5","13","0","0","0","0","0","0","False"
Player State52,"-15","-5","13","0","0","0","0","0","0","False"
Player State53,"-15","-5","13","0","0","0","0","0","0","False"
Player State54,"-15","-5","13","0","0","0","0","0","0","False"
Player State55,"-15","-5","13","0","0","0","0","0","0","False"
Player State56,"-15","-5","13","0","0","0","0","0","0","False"
Player State57,"-15","-5","13","0","0","0","0","0","0","False"
Player State58,"-15","-5","13","0","0","0","0","0","0","False"
Player State59,"-15","-5","13","0","0","0","0","0","0","False"
Player State60,"-15","-5","13","0","0","0","0","0","0","False"
Player State61,"-15","-5","13","0","0","0","0","0","0","False"
Player State62,"-15","-5","13","0","0","0","0","0","0","False"
Player State63,"-15","-5","13","0","0","0","0","0","0","False"
Player State64,"-15","-5","13","0","0","0","0","0","0","False"
Player State65,"-15","-5","13","0","0","0","0","0","0","False"
Player State66,"-15","-5","13","0","0","0","0","0","0","False"
Player State67,"-15","-5","13","0","0","0","0","0","0","False"
Player State68,"-15","-5","13","0","0","0","0","0","0","False"
Player State69,"-15","-5","13","0","0","0","0","0","0","False"
Player State70,"-15","-5","13","0","0","0","0","0","0","False"
Player State71,"-15","-5","13","0","0","0","0","0","0","False"
Player State72,"-15","-5","13","0","0","0","0","0","0","False"
Player State73,"-15","-5","13","0","0","0","0","0","0","False"
Player State74,"-15","-5","13","0","0","0","0","0","0","False"
Player State75,"-15","-5","13","0","0","0","0","0","0","False"
Player State76,"-15","-5","13","0","0","0","0","0","0","False"
Player State77,"-15","-5","13","0","0","0","0","0","0","False"
Player State78,"-15","-5","13","0","0","0","0","0","0","False"
Player State79,"-15","-5","13","0","0","0","0","0","0","False"
Player State80,"-15","-5","13","0","0","0","0","0","0","False"
Player State81,"-15","-5","13","0","0","0","0","0","0","False"
Player State82,"-15","-5","13","0","0","0","0","0","0","False"
Player State83,"-15","-5","13","0","0","0","0","0","0","False"
Player State84,"-15","-5","13","0","0","0","0","0","0","False"
Player State85,"-15","-5","13","0","0","0","0","0","0","False"
Player State86,"-15","-5","13","0","0","0","0","0","0","False"
Player State87,"-15","-5","13","0","0","0","0","0","0","False"
Player State88,"-15","-5","13","0","0","0","0","0","0","False"
Player State89,"-15","-5","13","0","0","0","0","0","0","False"
Player State90,"-15","-5","13","0","0","0","0","0","0","False"
Player State91,"-15","-5","13","0","0","0","0","0","0","False"
Player State92,"-15","-5","13","0","0","0","0","0","0","False"
Player State93,"-15","-5","13","0","0","0","0","0","0","False"
Player State94,"-15","-5","13","0","0","0","0","0","0","False"
Player State95,"-15","-5","13","0","0","0","0","0","0","False"
Player State96,"-15","-5","13","0","0","0","0","0","0","False"
Player State97,"-15","-5","13","0","0","0","0","0","0","False"
Player State98,"-15","-5","13","0","0","0","0","0","0","False"
Player State99,"-15","-5","13","0","0","0","0","0","0","False"
Player State100,"-15","-5","13","0","0","0","0","0","0","False"
Player State101,"-15","-5","13","0","0","0","0","0","0","False"
Player State102,"-15","-5","13","0","0","0","0","0","0","False"
Player State103,"-15","-5","13","0","0","0","0","0","0","False"
Player State104,"-15","-5","13","0","0","0","0","0","0","False"
Player State105,"-15","-5","13","0","0","0","0","0","0","False"
Player State106,"-15","-5","13","0","0","0","0","0","0","False"
Player State107,"-15","-5","13","0","0","0","0","0","0","False"
Player State108,"-15","-5","13","0","0","0","0","0","0","False"
Player State109,"-15","-5","13","0","0","0","0","0","0","False"
Player State110,"-15","-5","13","0","0","0","0","0","0","False"
Player State111,"-15","-5","13","0","0","0","0","0","0","False"
Player State112,"-15","-5","13","0","0","0","0","0","0","False"
Player State113,"-15","-5","13","0","0","0","0","0","0","False"
Player State114,"-15","-5","13","0","0","0","0","0","0","False"
Player State115,"-15","-5","13","0","0","0","0","0","0","False"
Player State116,"-15","-5","13","0","0","0","0","0","0","False"
Player State117,"-15","-5","13","0","0","0","0","0","0","False"
Player State118,"-15","-5","13","0","0","0","0","0","0","False"
Player State119,"-15","-5","13","0","0","0","0","0","0","False"
Player State120,"-15","-5","13","0","0","0","0","0","0","False"
Player State121,"-15","-5","13","0","0","0","0","0","0","False"
Player State122,"-15","-5","13","0","0","0","0","0","0","False"
Player State123,"-15","-5","13","0","0","0","0","0","0","False"
Player State124,"-15","-5","13","0","0","0","0","0","0","False"
Player State125,"-15","-5","13","0","0","0","0","0","0","False"
Player State126,"-15","-5","13","0","0","0","0","0","0","False"
Player State127,"-15","-5","13","0","0","0","0","0","0","False"
Player State128,"-15","-5","13","0","0","0","0","0","0","False"
Player State129,"-15","-5","13","0","0","0","0","0","0","False"
Player State130,"-15","-5","13","0","0","0","0","0","0","False"
Player State131,"-15","-5","13","0","0","0","0","0","0","False"
Player State132,"-15","-5","13","0","0","0","0","0","0","False"
Player State133,"-15","-5","13","0","0","0","0","0","0","False"
Player State134,"-15","-5","13","0","0","0","0","0","0","False"
Player State135,"-15","-5","13","0","0","0","0","0","0","False"
Player State136,"-15","-5","13","0","0","0","0","0","0","False"
Player State137,"-15","-5","13","0","0","0","0","0","0","False"
Player State138,"-15","-5","13","0","0","0","0","0","0","False"
Player State139,"-15","-5","13","0","0","0","0","0","0","False"
Player State140,"-15","-5","13","0","0","0","0","0","0","False"
Player State141,"-15","-5","13","0","0","0","0","0","0","False"
Player State142,"-15","-5","13","0","0","0","0","0","0","False"
Player State143,"-15","-5","13","0","0","0","0","0","0","False"
Player State144,"-15","-5","13","0","0","0","0","0","0","False"
Player State145,"-15","-5","13","0","0","0","0","0","0","False"
Player State146,"-15","-5","13","0","0","0","0","0","0","False"
Player State147,"-15","-5","13","0","0","0","0","0","0","False"
Player State148,"-15","-5","13","0","0","0","0","0","0","False"
Player State149,"-15","-5","13","0","0","0","0","0","0","False"
Player State150,"-15","-5","13","0","0","0","0","0","0","False"
Player State151,"-15","-5","13","0","0","0","0","0","0","False"
Player State152,"-15","-5","13","0","0","0","0","0","0","False"
Player State153,"-15","-5","13","0","0","0","0","0","0","False"
Player State154,"-15","-5","13","0","0","0","0","0","0","False"
Player State155,"-15","-5","13","0","0","0","0","0","0","False"
Player State156,"-15","-5","13","0","0","0","0","0","0","False"
Player State157,"-15","-5","13","0","0","0","0","0","0","False"
Player State158,"-15","-5","13","0","0","0","0","0","0","False"
Player State159,"-15","-5","13","0","0","0","0","0","0","False"
Player State160,"-15","-5","13","0","0","0","0","0","0","False"
Player State161,"-15","-5","13","0","0","0","0","0","0","False"
Player State162,"-15","-5","13","0","0","0","0","0","0","False"
